punch,like,circle,detected
0.9929,0.0069,0.0002,punch
0.0065,0.9935,0.0000,like
0.0001,0.0000,0.9999,circle
0.9874,0.0125,0.0001,punch
0.9795,0.0205,0.0000,punch
0.9602,0.0398,0.0000,punch
0.5714,0.4286,0.0000,punch
0.5348,0.4652,0.0000,punch
0.9656,0.0344,0.0000,punch
0.9275,0.0000,0.0724,punch
0.9862,0.0138,0.0000,punch
0.0008,0.9992,0.0000,like
0.3572,0.0000,0.6428,circle
0.0001,0.0000,0.9999,circle
0.6715,0.3285,0.0000,punch
0.3574,0.6426,0.0000,like
0.9990,0.0010,0.0000,punch
0.8303,0.1697,0.0000,punch
0.6725,0.3275,0.0000,punch
0.6935,0.3065,0.0000,punch
0.9994,0.0005,0.0000,punch
0.9540,0.0000,0.0460,punch
0.0096,0.9904,0.0000,like
0.0700,0.0000,0.9300,circle
0.0001,0.0000,0.9999,circle
0.9962,0.0000,0.0038,punch
0.0164,0.0000,0.9836,circle
0.9711,0.0289,0.0000,punch
0.1631,0.8369,0.0000,like
0.9996,0.0003,0.0001,punch
0.9916,0.0084,0.0000,punch
0.8368,0.0000,0.1632,punch
0.9965,0.0035,0.0000,punch
0.9371,0.0000,0.0629,punch
0.9856,0.0144,0.0000,punch
0.9929,0.0063,0.0008,punch
0.9982,0.0011,0.0006,punch
0.0000,0.0000,1.0000,circle
0.9990,0.0010,0.0000,punch
0.9655,0.0345,0.0000,punch
0.9856,0.0144,0.0000,punch
0.0013,0.9987,0.0000,like
0.9974,0.0002,0.0024,punch
0.9864,0.0135,0.0000,punch
0.0176,0.9824,0.0000,like
0.7337,0.0000,0.2663,punch
